name,album,year,lyrics
Right to Left,Born Successful,2009, blue green jewels with the supreme fuel and looking raw up in the cut while i lay back cool and moving right to left moving right to left moving right to left moving right to left wooden leather base model never holding birds of a feather and we all are seen together moving moving right to left moving right to left moving right to left yo what i gotta do to get you pussy cat dogs to not act hard like i wouldnt jab yall you a trap star cool im a dream catcher you from new york stop biting off atlanta pea is a rap terrorist suicide bomber ima blow up me and everybody around me you cant show up pea im everywhere you try to be heres some advice get nice and dont lie to me in my last 6 i trumped your whole shiznik son ive heard better mcing in limp bizkit rappers is rugrats i am dr lipschitz come to ya shows theres enough space to park with wheres your fanbase with so much damn grace i plan your demise over eggs and pancakes first thought of the day the second one goes i wont stop until i see tm blow how the fuck jay and dame gon break up fore they meet drake im sure it can be resolved im just hopin that they make up im perfecting my craft using more cess tryna make some cheese off a single is a process get it kraft single cheese process sit back and admire the talent that i possess top notch no less oh yes im known in the city but need to bust out like a model that show chest cause you deal with agents from check collections im keepin it cleaner than little x direction and baby girl if you dont like me its prolly due to the fact that you are les like nextselection the city is mine i control this you know this cause you are nothing like it and im so this the coldest im in jamaica docked at the bay what up otis im back with the form like obus blue green jewels with the supreme fuel and looking raw up in the cut while i lay back cool and moving right to left moving right to left moving right to left moving right to left wooden leather base model never holding birds of a feather and we all are seen together moving right to left moving right to left moving right to left and imma teach it so you learn right you cant come on this ride you need to earn height with no hydro bill i let the lights burn out and after that i take em back like returned flights yeah you cant miss the boy me and rich united like van nistelrooy bar mitzvah kid get your hits destroyed cause i keep it under wraps like christmas toys no witnesses no mistresses this the present and im a show you what gifted is mayne keep it real no other youngins as hot as me you a gucci groupie my nigga and im a prodigy what im direct for cause im who they check for i waited for connects while you was playin connect four you was playin uno i was doing you know whatever us rappers do to develop a new flow i promise
Forever (Born Successful),Born Successful,2009, it may not mean nothing to yall but understand nothing was done for me so i dont plan on stopping at all i want this shit forever man im shutting shit down in the mall and telling every girl she the one for me and i aint even planning to call i want this shit forever man shit nigga this what i does i swear i aint lyin like this is my cubs this is my club and im dirtied in the summer bitch weezy f baby always lookin like ive done some shit you aint know nothin bitch better know who you fuckin with try to fuck me i kill you and who you comin with no t i had to go stupid im on them high heels and i am no bootsy hounds avenue ridin with the phantom roof gone the maybach two tone and my rims are too grown that mean they 24s boy what are you on im richer than a bitch without that grey coupon yeah im talkin out of my head i make a blue eyed bitch just admire my red im a blood motherfucker a blood motherfucker forever like e t c period motherfucker it may not mean nothing to yall but understand nothing was done for me so i dont plan on stopping at all i want this shit forever man im shutting shit down in the mall and telling every girl she the one for me and i aint even planning to call i want this shit forever man im so unsigned it would blow ones mind cause to every single record i am so unkind there are no holds barred there is no love lost nigga this that crack and you know drugs cost so p a y u p i dont think youll ever find another nigga like me never l i e i got everything i tell em i got this young nigga showboat like im sellin a yacht you heard me who else tryna smoke yeah nigga me too cause take my mind off the pressure is what weed do your girl wetter than the bottom of a ski doo and take a bitch from any nigga is what we do so bite down ho or get the right dentist i told wayne im goin in like a life sentence and understand i send shots at who its meant for never had a mentor copy that tanner it may not mean nothing to yall but understand nothing was done for me so i dont plan on stopping at all i want this shit forever man 
The Winner,Born Successful,2009, i m performing tonight you know that shit gone be packed pay me in advance and make sure that it s exact my ex girl ll probably show up for the simple fact that tomorrow she can tell all of her friends it was whack but fuck that though this about me they say my whole fan base is missing id but the young trendsetting musician i be got critics giving up the recognition i de serve never bring your mrs by me i m it i m it call me mr it if i get one wish ima wish to die free they say gon head ball like ms arie and i do the realest in my age group no shit soho cosmo balmain blow fish lets make a toast tell your friends come closer drinks on me like a coaster we doing it big look at what i done look at where i m is it s only just begun cause i was staying home when they was having fun so please don t be surprised when they announce that i won and this is how my speech goes i deserve this shit i deserve this shit i deserve this shit that s all i got to say at the top is where i stay and tell my haters never go away the winner long awaited hated fans see me out and they holla happy belated it s about time that you made it i was bumping your songs when nobody else played it when i was up in hot beats in atlanta steady giving daps fetching niggas drinks but i never got to rap if anybody asked though i prolly woulda snapped but i can t sign nothing til my lawyer get the facts and no one decides who the definition of talent is and mrs murray look at what my talent did and what your business is its been a couple years guess it s not about who you know it s just how you balance it it s always awkward to dummy a nigga artist and get on someone song when you know you coming the hardest its how you start actin when nobody can reach you my plan just hatched happy easter we doing it big look at what i done look at where i m is it s only just begun cause i was staying home when they was having fun so please don t be surprised when they announce that i won and this is how my speech goes i deserve this shit i deserve this shit i deserve this shit that s all i got to say at the top is where i stay and tell my haters never go away the winner uhh ok i do it for the love bunk bed flow always one level above if i m in your starting five you will never need a sub and i m neva looking down so i always know wassup a lot of people sayin fuck me problem is they be telling everybody but me but i always got a starbucks verse being brewed too hot please please double cup me they never gave me support like chuck ts and i never trust a nigga saying trust me nick cannon and will never did it this ill so you tell the house band don t you dare interrupt me thanks to my mother for never giving up you deserve the world now gon live it up thanks to uncle steve my hero who always saved us i could never give back everything you gave us and to my dad even though we was apart i couldn t leave you out you forever in my heart yeah and in the name of evelyn sher i ll forever forgive anybody that never was there for me no other woman could ever compare my angel i hope heaven s prepared for whenever you there i got a revolutionary flow in every scenario coming through your stereo got a new chick booty round like the merry go bitches like where he at they be like there he go and this deserve a burial don t cry for me this ain t motherfucking mario yeah and polo isn t at my session it s the anticipation keeping everybody guessing like we doing it big look at what i done look at where i m is it s only just begun cause i was staying home when they was having fun so please don t be surprised when they announce that i won and this is how my speech goes i deserve this shit i deserve this shit i deserve this shit that s all i got to say at the top is where i stay and tell my haters never go away the winner
I Do This,Born Successful,2009, uh shits all good the deal got signed and my splits all good and these haters pretending that its all good say that shit in person man i wish yall would im a motherfuckin genius goddammit i aint the type to murder you im more the type to plan it so please take a seat if you really cant stand it got success in my pocket and these rappers in a panic but belly told me to do me and dont listen to anybody that knew me cause to have known me would mean that theres a new me and if you think ive changed then the slightest could have fooled me yeah and to my city im the 2 3 drug dealers live vicariously through me no bench time nicknames starter drake franchise player i dont even get a water break and these other niggas is hardly mentioned i bet that with this pen i could draw attention but you could tell by my strut im just chillin in the cut nigga what and im feelin like i get it i get it i get it til im done tell them rappers im the man in the city that i run so you holla at me pimpin if you plannin on a visit and they say that you can talk it when you live it im tryna tell you i do this but you dont wanna go there homie im tryna tell you i do this but you dont wanna go there homie im tryna tell you i do this but you dont wanna go there homie im tryna tell you do this but you dont wanna go there homie here i go street reaper ballin over here we need three courts violence you dont wanna resort the house looks something like a resort you cant resist bein rich when you record when this money runs slower than eeyore if your life is a movie you a extra im so fly i glide clyde drexler mister pressure bitch im fresher they must heard that theyll never catch up somebody throw a sign to the catcher im at the plate right now fuck next up i get it i get it i get it til im done tell them rappers im the man in the city that i run so you holla at me pimpin if you plannin on a visit and they say that you can talk it when you live it im tryna tell you do this but you dont wanna go there homie im tryna tell you i do this but you dont wanna go there homie im tryna tell you i do this but you dont wanna go there homie im tryna tell you i do this but you dont wanna go there homie
Fallen,Born Successful,2009, yeah its drake kc we was just walking just smiling and talking then add to my surprise got lost in your eyes this time they were different and i found what it meant after i leaned in i helplessly fell in help me ive fallen in love and now i cant get up somewhere between your lips is where i think my heart slipped i tried to catch myself not even i could have helped myself from falling i think that im in love in love and i cant see whats happening to me you blinded my thoughts from what pain and tears taught see my hearts been broken before it dont trust love anymore one kiss from you i just felt myself fall right through help me ive fallen in love and now i cant get up somewhere between your lips is where i think my heart slipped i tried to catch myself not even i could have helped myself from falling i think that im in love got me hypnotized with your magic spell i got butterflies cant control myself close my eyes at night and i dream of you its true dont know what to do dont stop now since i let you in you showed me how you showed me how to love again and theres no reason why i cant give you a try cause it feels so right look previously mischievous behavior was the leader of me you could say i was fresh to some considerable degree steppin out the house tryin to figure out where cameras from cheaters would be but ugh keshia keshia do you remember the old us we would never be together is what they told us from immature kids to entrepreneur kids we bought our own dreams instead of the ones they sold us keep it a hundred what they sayin im a liar for airing laundry thats what i got a dryer for what are they even searching through attire for tellin you these stories bout lonely women that i ignore callin them out is red rover to me to them its a dream its just a rare rover to me see im passionate and focused i dont know how they expect a scorpio born in october to be but ugh im going in check look previously mischievous behavior was the leader of me you could say i was fresh to some conceited degree steppin out the house tryin to figure out where cameras from cheaters would be but now i need a culprit i am talking lofts and beach condo adult shit i am talking all day shopping sprees at the mall with friends that i ball with here meet ts girl go and get some fall shit sweetie i am a tracks demise i will kill this song until it actually dies with a military jacket and some pack supplies i wont say im the best until the stats arrive and all these a list parties you fraternize where you cant wear hats inside its only slacks and ties but you dont ever act surprised you just hold it down for your boy until the plaques arrives thats why i love you ive fallen please help me
Do It Now,Born Successful,2009, uh yeah alright uh well alright yeah well alright uh huh yeah feel good its a celebration clap clap bravo lobster and shrimp and a glass of moscato for the girl whos a student and her friend whos a model finished the whole bottle and we gonna do it big like this yeah and he was just practice he aint in your world you can take him off your atlas girl ya on fire can i be the one you match with i give you the credit card and baby you can max this out show me where ya tats is show me where ya hands at maybe i can grasp it they say if ya get her you can understand her better and she known to be a cheater but thats only if you let her yeah and i got it together so when they talk they try deter me its like whatever tell em i appreciate the help but i just gotta know for myself this lifestyle is foul this shitll damage ya especially when you think noone is understanding ya these girl groups with they overprotective managers got paparazzi over my shoulders clickin they cam er a snap snap snap until they runnin outta card space you remind me of tonys sister in scarface just take it easy on love and slow ya heart rate goodness gracious on top is such a hard place yea but if you never even been there you kinda make sense why you dying of pretendin spillin all ya drinks takin pictures in ya swimwear head up in the clouds you survivin on the thin air i know that shit is exhausting girl and your mistakes are costing girl and maybe you dont need the help but i just wanna see for myself
The Search,Born Successful,2009, they say we killin em all all all all hip hops newest and youngest acquisition if this was you i wonder what youd do in that position try to make a profit or try to make a difference try to make em play your shit or try to make em listen i go from records with dwele and l b and elzhi the meetings where they tell me to start making records and that theyll buy now im out in a town they tellin me trey sound its too mainstream if i plan on me stickin around but the allure of this years scream tour has been cuttin all them jawns that be hurtin the game i be dreamin bout hoes and doin them live shows shirtless thats why i started to personal train dog personally mane im a person that came to bring purpose to a seem unless they purposeless game it never feel like its earned when you purchase the fame now my thoughts gettin deeper and im searchin the game i keep on on on on on im killin em all all all all im killin em all all im killin em all all yeah let me show you how to blast up now tell me who is a masta a mind never wasted who grows fasta the young and incredible while lightin yo ass up you look a lil red we gettin that cash up see where we from the 50s are bloody and the 100 dollar bill is dirty brown they love me i mess up my livin room and studio with my money a g note is purple grape juice stains on the front piece of my lapel is custom made you off the rack shit im off the chain come on the dogs are loose and yeah we get our dumb on like san frisco bay with 40 and mac dre eat it or forever lose a piece of your meal to me or one of my folk drakell give you the deal if bein broke at 30 is a nigga that kills i guess we somethin like two ice bergs huntin to kill keep on keep on look uh i used to get em like murda murda ol time killin i wasnt even rappin spent my whole time chillin and now the girls like its only drake got chased and so the artists i respected try and take my place but pimpin aint easy man and neither is rappin they one in the same when you need it to happen my city full of players they just needed a captain in need of him right now in need of him back then but back then i was actin nowadays i serve backhands with backspin tryin to prove rappers are intelligent black men and now whoever chose to back out is back in they say theres two sides to every story and three when the truth get told so grab a spoon fore your soup get cold when you drive it off the lot is when your coupe get old so please discover an answer fore proof gets sold and keep on on on on on 
Juice,Born Successful,2009, boi 1da drizzy yall dont really like me i can understand my flow is sitting right inside the pocket on my pants im still fly you cant float run this shit usain bolt i write your favorite records are you saying ghost twenty thousand for a is our routine quote im getting rich uhh you staying broke chillin even if im in a goose down coat i cant see you through the mosley tribes so i dont even flinch if you throw me high fives they try to measure up but there is no one my size whatever 40s smokin bout to low my eyes beast mode on them i never take a night off every single thing a nigga purchase is a write off grounded as the runway pavement im taking flight off baby go ahead and cut the light off cause its about to go i hear my phone ringing when you call i aint pickin up or entertainin them at all got your girl face down bangin on the wall while you and all your homeboys hang in lenox mall mmm mmm mmm i cannot relate ridin with some tags that i got from out of state ridin with a swag that i got from outer space just show me whos the hottest imma knock him out his place call me homicide drizzy im bout to kill your ego im about my green puffin goody like im cee lo you can go and take a glance at your hero while the houston ship a pole dancing zero fantasy to you reality to me and yeah my g pass is as valid as can be im so fresh a stylist would agree waving at your girl while shes smiling back at me like
Man of the Year,Comeback Season,2007, damn i done walked in here looking like the motherfucking man of the year think i had the motherfucking plan of the year which was simply to make groupie fans of my peers and i get my girl whatever she desire and my niggas get whatever they require these rappers old i m the reason they expire plus i got a city that i carey like mariah damn that punch line was predictable i still got you shitting bricks homie quit the bull and we don t need new members to me the clique is full and i be getting the same women that tip can pull believe or not i receive a lot so i be wearing the same gucci that jeezy got and i be buying the louis that kanyeezy cop and i be ripping the same records that weezy rock this shit is easy pop that s why i m ready man i d never copy nor bit like eddie man did you get it eddie murphy was in norbit or was it way over your head did you forfeit yeah i take a woman shopping in a store quick her ass big she just trying to make a four fit yeah they need to issue out a recall i m going up and they heading into a freefall the fundamentals are needed you playing streetball and i was out at bet but i didn t see ya ll these skee lo rappers wishing they could be tall letting all their fake friends use them like a free stall damn i done walked in here looking like the motherfucking man of the year my shades so dark and my ice so bright my buddy in my pants wanna fight your wife like round one round two round three i told you not to ever bring a bitch round me cause ain t no nigga like a young money nigga no ain t no nigga like me ya dig i said i know you see me chilling super low key if i m with the right niggas you can scoop an o z all the hustlers and the bouncers and the groupies know me fresh denim fresh shades in a coupe with no keys it start up when i touch the door and i encourage ladies to touch the floor as soon as we finish cutting we can cut some more then after you get high make em get em girl you finna get low lights dimmed down got a lota dough plus a hit sound what you mean you ain t heard i come highly recommended everybody my friend even if they been offended they ain t really got a choice it s an obvious decision you tryna make a come up in my city it s a given plus a nigga famous plus i got a vision not to mention having bars like a motherfucking prison they taking too long their records on hold they threatened by my presence cause i make them feel old guaranteed if they drop they bragging bout what they sold just remember where i live at fifty thousands going gold holla at me when you see me make yourself known instead of hatin on my music in the comfort of your home nigga be a man you acting like a bitch i ain t acting like i m rude i m just acting like i m rich rich riding with weezy fucking baby are you the type of girl that me and weezy fucking baby cause i don t waste time can t you see a nigga lazy and i might need some help but you know weezy s fucking crazy damn i done walked in here looking like the motherfucking man of the year my shades so dark and my ice so bright my buddy in my pants wanna fight your wife like round one round two round three i told you not to ever bring a bitch round me cause ain t no nigga like a young money nigga no ain t no nigga like me ya dig y m bitch everyday two times on sunday spitta check your blinkers baby check your blinkers baby cause to me look like you ve been turning right all day yeah right my way i got a boulevard baby that s right cash avenue wall street gangsta carter ya ll why would i lie yeah i ain t rich bitch i m wealthy young i talk shit til i die come kill me nigga fuck you no homo she like it yeah boy these motherfucking glasses i got on right now are so motherfucking cold damn i done walked in here looking like the motherfucking man of the year my shades so dark and my ice so bright my buddy in my pants wanna fight your wife like round one round two round three i told you not to ever bring a bitch round me cause ain t no nigga like a young money nigga no ain t no nigga like me ya dig
Give Ya,Comeback Season,2007, check look and i aint tryna get to know nobody but you do me a favor tell me whats happenin i am drinkin xo d is sippin some appleton usually the things i desire i always apprehend back again return of the mack again deceiving was cool ill never record the track again even though my ex is fuckin one of my rapper friends i dont wanna seem like i am always attacking them verbally you can stop frontin i know you heard of me babygirl ya ya ya heard of me little me pay attention i guarantee you itll be one of the best decisions youve made im sonnin them all i live in the shade previously mischievous behaviour was the leader of me you could say i was fresh to some conceited degree steppin out the house tryna figure out where cameras from cheaters would be but now i need a culprit i am talkin long sands beach condo adult shit i am talkin all day shoppin sprees in the mall with friends that i ball with hear me treys girl go and get you some fall shit sweetie i am a tracks demise i will kill this song til it actually dies with a military jacket and some packed supplies i wont say im the best til the stats arrive and all these a list parties you fraternize where you cant wear hats inside its only slacks and ties but you dont never act surprised you just hold it down for your boy til the plaques arrive and girl i used to blow a couple thousand at the shake joint now it cost a couple thousand for a drake joint i gave up a lot to make a progress i give it to you and you take it the best when i give ya what i give ya when i give ya what i give ya i need a women not a girl cause im bout that and when i give ya what i give ya when i give ya what i give ya i need a women not a girl cause im bout that and when i give ya what i give ya yup its me again songz with a z again canadian visitor lady exhibitor play me ill visit ya lay you in critical condition so dont get it twisted nigga but back to the pimpin nigga intercontinental you can catch me laid up somethin with a fly face slim waist big butt thats why i love what i does shot a couple videos now we got the city froze somethin like my wrist be niggas know how this shit be step into the club security never frisk me buy so much liquor they give us a couple sips free i be on henessy straight with no cubes take me where the women be i wont lose drake take patrón to the face til he wasted im blowin til im gon outta space in the matrix call me mr anderson huh im ramblin but at the same time im spittin a flame rhyme baby whats your name they call me the game mind most valuable player baby listen its game time we could take a couple shots break down ya ds take it to the hole post up on me let me fill the arena ill be gilbert arenas somethin like a wizard when i give ya what i give ya 
